,episode,make_span,reward
0,0.0,808.0,-12.153061224489797
1,0.0,666.0,-4.908163265306123
2,0.0,738.0,-8.581632653061225
3,0.0,873.0,-15.46938775510204
4,0.0,743.0,-8.836734693877549
5,1.0,809.0,-12.204081632653061
6,1.0,822.0,-12.86734693877551
7,1.0,738.0,-8.581632653061225
8,1.0,835.0,-13.530612244897963
9,1.0,692.0,-6.23469387755102
10,2.0,871.0,-15.367346938775514
11,2.0,889.0,-16.285714285714285
12,2.0,844.0,-13.989795918367344
13,2.0,798.0,-11.642857142857142
14,2.0,851.0,-14.346938775510203
15,3.0,752.0,-9.295918367346939
16,3.0,766.0,-10.010204081632654
17,3.0,804.0,-11.948979591836736
18,3.0,864.0,-15.01020408163265
19,3.0,802.0,-11.846938775510205
20,4.0,797.0,-11.591836734693874
21,4.0,856.0,-14.602040816326529
22,4.0,820.0,-12.76530612244898
23,4.0,906.0,-17.153061224489797
24,4.0,703.0,-6.795918367346939
25,5.0,752.0,-9.295918367346939
26,5.0,794.0,-11.438775510204081
27,5.0,767.0,-10.06122448979592
28,5.0,766.0,-10.01020408163265
29,5.0,747.0,-9.040816326530614
30,6.0,746.0,-8.989795918367346
31,6.0,906.0,-17.153061224489797
32,6.0,782.0,-10.826530612244898
33,6.0,779.0,-10.673469387755102
34,6.0,753.0,-9.346938775510203
35,7.0,830.0,-13.27551020408163
36,7.0,748.0,-9.091836734693878
37,7.0,792.0,-11.33673469387755
38,7.0,809.0,-12.20408163265306
39,7.0,814.0,-12.459183673469386
40,8.0,844.0,-13.989795918367347
41,8.0,842.0,-13.887755102040815
42,8.0,809.0,-12.204081632653063
43,8.0,776.0,-10.520408163265305
44,8.0,867.0,-15.163265306122447
45,9.0,750.0,-9.193877551020408
46,9.0,821.0,-12.816326530612244
47,9.0,734.0,-8.377551020408163
48,9.0,810.0,-12.255102040816327
49,9.0,809.0,-12.204081632653063
50,10.0,792.0,-11.336734693877553
51,10.0,809.0,-12.204081632653061
