,episode,make_span,reward,min_make_span
0,0.0,1217.0,-42.11340206185565,1217.0
1,0.0,1143.0,-34.484536082474214,1143.0
2,0.0,1190.0,-39.32989690721647,1143.0
3,0.0,1119.0,-32.010309278350505,1119.0
4,0.0,1106.0,-30.670103092783492,1106.0
5,1.0,1144.0,-34.58762886597936,1106.0
6,1.0,1260.0,-46.54639175257729,1106.0
7,1.0,1127.0,-32.83505154639173,1106.0
8,1.0,1144.0,-34.58762886597936,1106.0
9,1.0,1125.0,-32.62886597938143,1106.0
10,2.0,1152.0,-35.4123711340206,1106.0
11,2.0,1157.0,-35.927835051546374,1106.0
12,2.0,1092.0,-29.22680412371132,1092.0
13,2.0,1224.0,-42.83505154639173,1092.0
14,2.0,1168.0,-37.06185567010307,1092.0
15,3.0,1110.0,-31.082474226804106,1092.0
16,3.0,1157.0,-35.927835051546374,1092.0
17,3.0,1116.0,-31.701030927835028,1092.0
18,3.0,1185.0,-38.81443298969071,1092.0
19,3.0,1185.0,-38.8144329896907,1092.0
20,4.0,1237.0,-44.175257731958745,1092.0
21,4.0,1097.0,-29.742268041237093,1092.0
22,4.0,1214.0,-41.80412371134018,1092.0
23,4.0,1190.0,-39.32989690721649,1092.0
24,4.0,1179.0,-38.19587628865979,1092.0
25,5.0,1145.0,-34.69072164948451,1092.0
26,5.0,1199.0,-40.257731958762875,1092.0
27,5.0,1155.0,-35.72164948453606,1092.0
28,5.0,1171.0,-37.371134020618534,1092.0
29,5.0,1203.0,-40.67010309278349,1092.0
30,6.0,1166.0,-36.85567010309276,1092.0
31,6.0,1090.0,-29.020618556701017,1090.0
32,6.0,1169.0,-37.164948453608226,1090.0
33,6.0,1146.0,-34.79381443298968,1090.0
34,6.0,1219.0,-42.31958762886596,1090.0
35,7.0,1175.0,-37.78350515463916,1090.0
36,7.0,1126.0,-32.731958762886585,1090.0
37,7.0,1093.0,-29.32989690721649,1090.0
38,7.0,1195.0,-39.84536082474225,1090.0
39,7.0,1110.0,-31.082474226804088,1090.0
40,8.0,1138.0,-33.969072164948436,1090.0
41,8.0,1184.0,-38.711340206185554,1090.0
42,8.0,1184.0,-38.711340206185554,1090.0
43,8.0,1179.0,-38.19587628865978,1090.0
44,8.0,1178.0,-38.09278350515463,1090.0
45,9.0,1089.0,-28.917525773195855,1089.0
46,9.0,1098.0,-29.84536082474225,1089.0
47,9.0,1105.0,-30.567010309278338,1089.0
48,9.0,1147.0,-34.89690721649483,1089.0
49,9.0,1169.0,-37.164948453608226,1089.0
50,10.0,1165.0,-36.75257731958761,1089.0
51,10.0,1219.0,-42.319587628865975,1089.0
52,10.0,1169.0,-37.164948453608226,1089.0
53,10.0,1222.0,-42.62886597938142,1089.0
54,10.0,1215.0,-41.907216494845336,1089.0
55,11.0,1169.0,-37.16494845360822,1089.0
56,11.0,1192.0,-39.53608247422677,1089.0
57,11.0,1167.0,-36.958762886597924,1089.0
58,11.0,1220.0,-42.422680412371115,1089.0
59,11.0,1186.0,-38.91752577319585,1089.0
60,12.0,1169.0,-37.16494845360823,1089.0
61,12.0,1206.0,-40.97938144329897,1089.0
62,12.0,1151.0,-35.30927835051545,1089.0
