,episode,make_span,reward
0,0.0,2519.0,-192.93939393939417
1,0.0,2548.0,-198.79797979798005
2,0.0,2577.0,-204.65656565656613
3,1.0,2626.0,-214.55555555555586
4,1.0,2660.0,-221.4242424242428
5,1.0,2591.0,-207.48484848484875
6,2.0,2649.0,-219.20202020202052
7,2.0,2571.0,-203.44444444444483
8,2.0,2588.0,-206.8787878787882
9,3.0,2556.0,-200.41414141414174
10,3.0,2753.0,-240.21212121212164
11,3.0,2479.0,-184.85858585858625
12,4.0,2534.0,-195.96969696969737
13,4.0,2532.0,-195.56565656565692
14,4.0,2693.0,-228.0909090909094
15,5.0,2531.0,-195.36363636363674
16,5.0,2560.0,-201.2222222222225
17,5.0,2534.0,-195.96969696969734
18,6.0,2564.0,-202.03030303030326
19,6.0,2577.0,-204.6565656565661
20,6.0,2552.0,-199.60606060606102
21,7.0,2609.0,-211.12121212121252
22,7.0,2511.0,-191.32323232323245
23,7.0,2650.0,-219.40404040404076
24,8.0,2613.0,-211.9292929292934
25,8.0,2536.0,-196.3737373737376
26,8.0,2529.0,-194.95959595959621
27,9.0,2530.0,-195.16161616161648
28,9.0,2592.0,-207.686868686869
29,9.0,2566.0,-202.43434343434393
30,10.0,2621.0,-213.54545454545487
31,10.0,2520.0,-193.14141414141443
32,10.0,2516.0,-192.33333333333368
33,11.0,2553.0,-199.80808080808131
34,11.0,2512.0,-191.5252525252528
35,11.0,2509.0,-190.91919191919231
36,12.0,2552.0,-199.60606060606113
37,12.0,2550.0,-199.2020202020206
38,12.0,2495.0,-188.09090909090938
39,13.0,2551.0,-199.40404040404064
40,13.0,2561.0,-201.4242424242428
41,13.0,2553.0,-199.80808080808123
42,14.0,2514.0,-191.9292929292932
43,14.0,2492.0,-187.48484848484887
44,14.0,2569.0,-203.0404040404043
45,15.0,2545.0,-198.1919191919195
46,15.0,2535.0,-196.1717171717173
47,15.0,2496.0,-188.29292929292947
48,16.0,2460.0,-181.02020202020208
49,16.0,2609.0,-211.12121212121247
50,16.0,2518.0,-192.73737373737404
51,17.0,2504.0,-189.90909090909113
52,17.0,2549.0,-199.0000000000003
53,17.0,2580.0,-205.26262626262653
54,18.0,2556.0,-200.41414141414174
55,18.0,2520.0,-193.1414141414145
56,18.0,2599.0,-209.10101010101044
57,19.0,2585.0,-206.27272727272776
58,19.0,2541.0,-197.38383838383862
59,19.0,2546.0,-198.39393939393977
60,20.0,2530.0,-195.16161616161662
61,20.0,2474.0,-183.8484848484851
62,20.0,2497.0,-188.49494949494994
63,21.0,2588.0,-206.87878787878816
64,21.0,2576.0,-204.45454545454578
65,21.0,2578.0,-204.85858585858622
66,22.0,2522.0,-193.5454545454551
67,22.0,2606.0,-210.51515151515204
68,22.0,2623.0,-213.9494949494952
69,23.0,2460.0,-181.02020202020236
70,23.0,2522.0,-193.54545454545485
71,23.0,2593.0,-207.88888888888917
72,24.0,2554.0,-200.01010101010132
73,24.0,2576.0,-204.4545454545459
74,24.0,2581.0,-205.46464646464685
75,25.0,2503.0,-189.70707070707098
76,25.0,2698.0,-229.1010101010104
77,25.0,2536.0,-196.37373737373787
