,episode,make_span,reward,min_make_span
0,0.0,1256.0,-53.448979591836746,1256.0
1,0.0,1209.0,-48.6530612244898,1209.0
2,0.0,1390.0,-67.12244897959185,1209.0
3,1.0,1224.0,-50.18367346938776,1209.0
4,1.0,1306.0,-58.55102040816328,1209.0
5,1.0,1190.0,-46.714285714285715,1190.0
6,2.0,1264.0,-54.26530612244899,1190.0
7,2.0,1393.0,-67.42857142857144,1190.0
8,2.0,1250.0,-52.836734693877546,1190.0
9,3.0,1276.0,-55.489795918367356,1190.0
10,3.0,1389.0,-67.02040816326533,1190.0
11,3.0,1285.0,-56.408163265306136,1190.0
12,4.0,1162.0,-43.85714285714286,1162.0
13,4.0,1269.0,-54.77551020408163,1162.0
14,4.0,1232.0,-51.00000000000001,1162.0
15,5.0,1421.0,-70.2857142857143,1162.0
16,5.0,1514.0,-79.77551020408166,1162.0
17,5.0,1221.0,-49.877551020408156,1162.0
18,6.0,1328.0,-60.79591836734694,1162.0
19,6.0,1313.0,-59.26530612244902,1162.0
20,6.0,1277.0,-55.5918367346939,1162.0
21,7.0,1190.0,-46.71428571428573,1162.0
22,7.0,1218.0,-49.571428571428584,1162.0
23,7.0,1399.0,-68.04081632653063,1162.0
24,8.0,1383.0,-66.40816326530613,1162.0
25,8.0,1191.0,-46.81632653061226,1162.0
26,8.0,1264.0,-54.26530612244899,1162.0
27,9.0,1259.0,-53.75510204081634,1162.0
28,9.0,1275.0,-55.387755102040835,1162.0
29,9.0,1277.0,-55.591836734693885,1162.0
30,10.0,1272.0,-55.08163265306121,1162.0
31,10.0,1285.0,-56.40816326530613,1162.0
32,10.0,1247.0,-52.53061224489798,1162.0
33,11.0,1266.0,-54.469387755102055,1162.0
34,11.0,1166.0,-44.26530612244898,1162.0
35,11.0,1308.0,-58.75510204081634,1162.0
36,12.0,1170.0,-44.67346938775511,1162.0
37,12.0,1436.0,-71.81632653061226,1162.0
38,12.0,1304.0,-58.34693877551021,1162.0
39,13.0,1338.0,-61.81632653061225,1162.0
40,13.0,1240.0,-51.81632653061224,1162.0
41,13.0,1403.0,-68.44897959183673,1162.0
42,14.0,1189.0,-46.61224489795919,1162.0
43,14.0,1238.0,-51.6122448979592,1162.0
44,14.0,1252.0,-53.04081632653063,1162.0
