,job,machine,start,end,width
0,10.0,3.0,0.0,94.0,94.0
1,5.0,9.0,0.0,79.0,79.0
2,15.0,5.0,0.0,61.0,61.0
3,2.0,4.0,0.0,39.0,39.0
4,11.0,2.0,0.0,31.0,31.0
5,12.0,6.0,0.0,28.0,28.0
6,12.0,10.0,28.0,125.0,97.0
7,13.0,6.0,28.0,55.0,27.0
8,14.0,2.0,31.0,43.0,12.0
9,3.0,2.0,43.0,62.0,19.0
10,8.0,6.0,55.0,64.0,9.0
11,15.0,4.0,61.0,116.0,55.0
12,11.0,5.0,61.0,85.0,24.0
13,3.0,1.0,62.0,145.0,83.0
14,9.0,2.0,62.0,90.0,28.0
15,6.0,9.0,79.0,114.0,35.0
16,8.0,5.0,85.0,105.0,20.0
17,9.0,6.0,90.0,123.0,33.0
18,2.0,3.0,94.0,125.0,31.0
19,4.0,5.0,105.0,165.0,60.0
20,14.0,9.0,114.0,164.0,50.0
21,6.0,8.0,114.0,209.0,95.0
22,15.0,7.0,116.0,153.0,37.0
23,10.0,6.0,123.0,207.0,84.0
24,5.0,10.0,125.0,202.0,77.0
25,8.0,3.0,125.0,164.0,39.0
26,12.0,1.0,145.0,203.0,58.0
27,3.0,4.0,145.0,179.0,34.0
28,8.0,7.0,164.0,218.0,54.0
29,1.0,3.0,164.0,198.0,34.0
30,7.0,5.0,165.0,193.0,28.0
31,3.0,5.0,193.0,285.0,92.0
32,1.0,4.0,198.0,253.0,55.0
33,4.0,3.0,198.0,285.0,87.0
34,13.0,10.0,202.0,250.0,48.0
35,2.0,1.0,203.0,215.0,12.0
36,15.0,6.0,207.0,221.0,14.0
37,11.0,1.0,215.0,235.0,20.0
38,2.0,2.0,215.0,257.0,42.0
39,6.0,7.0,218.0,227.0,9.0
40,7.0,6.0,221.0,280.0,59.0
41,10.0,7.0,227.0,305.0,78.0
42,9.0,1.0,235.0,313.0,78.0
43,6.0,10.0,250.0,260.0,10.0
44,13.0,9.0,250.0,277.0,27.0
45,8.0,2.0,257.0,302.0,45.0
46,2.0,10.0,260.0,339.0,79.0
47,13.0,8.0,277.0,339.0,62.0
48,7.0,4.0,280.0,296.0,16.0
49,1.0,6.0,280.0,375.0,95.0
50,11.0,3.0,285.0,302.0,17.0
51,4.0,9.0,285.0,309.0,24.0
52,12.0,5.0,285.0,330.0,45.0
53,6.0,3.0,302.0,337.0,35.0
54,3.0,7.0,305.0,359.0,54.0
55,9.0,4.0,313.0,339.0,26.0
56,14.0,1.0,313.0,393.0,80.0
57,5.0,3.0,337.0,435.0,98.0
58,6.0,2.0,337.0,344.0,7.0
59,11.0,10.0,339.0,364.0,25.0
60,2.0,9.0,339.0,416.0,77.0
61,13.0,5.0,339.0,437.0,98.0
62,8.0,8.0,339.0,410.0,71.0
63,12.0,7.0,359.0,435.0,76.0
64,7.0,10.0,364.0,407.0,43.0
65,4.0,6.0,375.0,452.0,77.0
66,7.0,1.0,407.0,453.0,46.0
67,10.0,10.0,407.0,488.0,81.0
68,11.0,9.0,416.0,497.0,81.0
